grup,gecerli_cift,fp_insan_faaliyeti,kontrol_insan_faaliyeti,fp_orani_agirlikli,kontrol_orani_agirlikli,agirlikli_fark,guven_araligi_alt,guven_araligi_ust,uyumsuz_fp_lehine,uyumsuz_kontrol_lehine,eslestirilmis_odds_orani,mcnemar_p,goruntu_sayisi,ornek_bayragi,kosu_protokol,kosu_etiket_kaynagi,kosu_anahtar_kaynagi,kosu_bootstrap_yineleme,kosu_tohum,kosu_yeniden_test_esigi,kosu_kapsam_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
TUMU (birincil),45,32,12,0.793,0.318,0.4751,0.2623,0.6609,23,3,7.6667,9e-05,35,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,19,15,5,0.8353,0.3048,0.5305,0.1856,0.8241,11,1,11.0,0.00635,16,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Taban-512,26,17,7,0.7682,0.3257,0.4426,0.1642,0.687,12,2,6.0,0.01294,23,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
duyarlilik: belirsiz -> yok,,,,,,0.4369,,,,,,,,duyarlilik,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
duyarlilik: belirsiz -> var,,,,,,0.4678,,,,,,,,duyarlilik,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
dislanan cift: belirsiz,10,,,,,,,,,,,,,dislama,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
dislanan cift: etiketsiz,165,,,,,,,,,,,,,dislama,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
KANIT ETIKETI,,,,,,,gecerli cift sayisi 100'un altinda,,,,,,,ILGINC AMA KANITLANMAMIS,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
