olcu,once_olcum_sayisi,sonra_olcum_sayisi,once_minimum,sonra_minimum,degisim_yuzde_minimum,once_medyan,sonra_medyan,degisim_yuzde_medyan,once_p95,sonra_p95,degisim_yuzde_p95,once_maksimum,sonra_maksimum,degisim_yuzde_maksimum,not,once_kare_sayisi,sonra_kare_sayisi,once_toplam_detection,sonra_toplam_detection,once_soguk_baslangic_sayisi,sonra_soguk_baslangic_sayisi,once_soguk_ilk_kare_suresi,sonra_soguk_ilk_kare_suresi,once_soguk_haric_frame_medyan,sonra_soguk_haric_frame_medyan,once_ayni_oturumda_en_cok_kare,sonra_ayni_oturumda_en_cok_kare,once_done_kare,sonra_done_kare,once_hatali_kare,sonra_hatali_kare,kosu_girdi,kosu_once_gorev,kosu_sonra_gorev,kosu_once_sha256,kosu_sonra_sha256,kosu_tarama_notu,kosu_kuyruk_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
goruntu_okuma,157,157,7.2005,0.1017,-98.59,10.1187,0.2774,-97.26,15.1177,0.5107,-96.62,19.5873,0.6948,-96.45,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
onnx_cikarim,157,157,6.3205,9.3125,47.34,9.3633,15.355,63.99,12.5423,30.5586,143.64,18.0256,34.6279,92.1,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
nms_koordinat,157,157,0.2946,0.1338,-54.58,0.3895,0.2245,-42.36,0.4907,0.3724,-24.11,0.573,0.4854,-15.29,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
db_yazma,157,157,0.0054,0.0091,68.52,0.0173,0.026,50.29,0.0402,0.059,46.77,0.0559,0.1623,190.34,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
frame_toplam,157,157,14.8069,9.7925,-33.87,19.884,16.0092,-19.49,28.2916,31.653,11.88,37.3691,35.6625,-4.57,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
uctan_uca_sure,157,157,14.8069,9.7925,-33.87,19.884,16.0092,-19.49,28.2917,31.6531,11.88,37.3692,35.6625,-4.57,kare icinde gecen calisma suresi,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
kuyruk_bekleme,157,157,0.2179,0.0903,-58.56,845.4332,614.465,-27.32,1545.7425,1387.2807,-10.25,1620.7126,1446.4497,-10.75,isci zamanlamasina ve gorev sirasina bagli; kod kazanimi olarak yorumlanamaz,,,,,,,,,,,,,,,,,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
KOSU OZETI,157,157,,,,,,,,,,,,,"sayimlar, sure degil",157,157,2450,2450,2,2,37.3691,10.4374,19.8698,16.0438,79,79,157,157,0,0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure.csv + /Users/onurkaya/Desktop/claude_projeler/gozcu/reports/gercek_onnx_celery_sure_tek_okuma.csv,olcum-onnx-sure-20260912-142859,olcum-onnx-tek-okuma-20260912-153715,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,yeni tarama yapilmadi; iki kosunun kare bazinda CSV'lerinden turetildi,kuyruk_bekleme ayri satirda; isci zamanlamasina bagli oldugu icin kod kazanimi sayilmaz,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:58,scripts/21_tek_okuma_karsilastir.py
