conf_esigi,gercek_kutu,dogru_bulunan_tp,kacirilan_fn,recall,yanlis_pozitif_fp,fp_goruntu_basina,precision,sure_saniye_goruntu_basina,kosu_model,kosu_bolum,kosu_goruntu_sayisi,kosu_karo_boyutu,kosu_ortusme_orani,kosu_perform_standard_pred,kosu_postprocess_type,kosu_postprocess_match_metric,kosu_iou_esigi,kosu_cihaz,kosu_tarama_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
0.05,970,690,280,0.7113,2863,18.24,0.1942,5.72,yolo11n.pt,test,157,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:45:23,scripts/01_taban_cizgisi.py --bolum test --limit 157 --cikti reports/taban_cizgisi_tam.csv
0.15,970,532,438,0.5485,856,5.45,0.3833,5.72,yolo11n.pt,test,157,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:45:23,scripts/01_taban_cizgisi.py --bolum test --limit 157 --cikti reports/taban_cizgisi_tam.csv
0.3,970,369,601,0.3804,284,1.81,0.5651,5.72,yolo11n.pt,test,157,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:45:23,scripts/01_taban_cizgisi.py --bolum test --limit 157 --cikti reports/taban_cizgisi_tam.csv
