sira,grup,kaynak_onek,goruntu,etiket_sayisi,tahmin_sayisi,eslesen,yanlis_pozitif,cikti_dosyasi,kosu_model,kosu_bolum,kosu_onek_filtresi,kosu_havuz_goruntu_sayisi,kosu_kalabalik_adet,kosu_az_etiketli_adet,kosu_az_etiketli_araligi,kosu_negatif_adet,kosu_karo_boyutu,kosu_ortusme_orani,kosu_conf_esigi,kosu_iou_esigi,kosu_maks_kenar,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
1,kalabalik,GRO,test_GRO_0008_JPG.rf.529e3636c24832d8d95670e9226bde13.jpg,4,2,1,1,01_kalabalik_test_GRO_0008_JPG.rf.529e3636c24832d.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
2,kalabalik,GRO,test_GRO_0001_JPG.rf.04342f1c9d6ba9b1a7f34bc64aa7ac8a.jpg,2,1,0,1,02_kalabalik_test_GRO_0001_JPG.rf.04342f1c9d6ba9b.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
3,kalabalik,GRO,test_GRO_0002_JPG.rf.d6c6cedf666cb4b2b20b6912d9143d74.jpg,2,1,1,0,03_kalabalik_test_GRO_0002_JPG.rf.d6c6cedf666cb4b.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
4,kalabalik,GRO,test_GRO_0004_JPG.rf.ee1934c606b131b2e05609eb027f3c37.jpg,2,0,0,0,04_kalabalik_test_GRO_0004_JPG.rf.ee1934c606b131b.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
5,az_etiketli,GRO,test_GRO_0003_JPG.rf.0dd653ffad0737522ea0b505dc97448e.jpg,1,1,1,0,05_az_etiketli_test_GRO_0003_JPG.rf.0dd653ffad07375.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
6,az_etiketli,GRO,test_GRO_0007_JPG.rf.3c190272cf4722b6d112807d38968753.jpg,2,4,1,3,06_az_etiketli_test_GRO_0007_JPG.rf.3c190272cf4722b.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
7,az_etiketli,GRO,test_GRO_0009_JPG.rf.16e8903f1a702efb023acd1b10932f06.jpg,2,1,0,1,07_az_etiketli_test_GRO_0009_JPG.rf.16e8903f1a702ef.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
8,az_etiketli,GRO,test_GRO_0010_JPG.rf.29dd9f9bb266b782853725d76807f78b.jpg,2,0,0,0,08_az_etiketli_test_GRO_0010_JPG.rf.29dd9f9bb266b78.jpg,yolo11n.pt,valid,GRO,10,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:52,scripts/03_gorsellestir.py --bolum valid --onek GRO --cikti reports/ornekler_GRO --secim-csv reports/ornek_secim_GRO.csv
