grup,gecerli_cift,fp_insan_faaliyeti,kontrol_insan_faaliyeti,fp_orani_agirlikli,kontrol_orani_agirlikli,agirlikli_fark,guven_araligi_alt,guven_araligi_ust,uyumsuz_fp_lehine,uyumsuz_kontrol_lehine,eslestirilmis_odds_orani,mcnemar_p,goruntu_sayisi,ornek_bayragi,kirilim,kosu_protokol,kosu_etiket_kaynagi,kosu_anahtar_kaynagi,kosu_bootstrap_yineleme,kosu_tohum,kosu_yeniden_test_esigi,kosu_kapsam_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
TUMU,45,32,12,0.793,0.318,0.4751,0.2623,0.6609,23,3,7.6667,9e-05,35,bagimsiz sonuc degil,kaynak,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
ZRI,32,27,11,0.8398,0.3456,0.4942,0.2512,0.7007,18,2,9.0,0.0004,23,bagimsiz sonuc degil,kaynak,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
ZRI_HARIC,13,5,1,0.3846,0.0769,0.3077,0.0,0.6154,5,1,5.0,0.21875,12,bagimsiz sonuc degil,kaynak,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
VRD / Model-512,4,2,0,0.5,0.0,0.5,0.0,1.0,2,0,,0.5,4,bagimsiz sonuc degil,kaynak x model,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
VRD / Taban-512,9,3,1,0.3333,0.1111,0.2222,-0.2222,0.6,3,1,3.0,0.625,8,bagimsiz sonuc degil,kaynak x model,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
ZRI / Model-512,15,13,5,0.8667,0.3333,0.5333,0.1429,0.8571,9,1,9.0,0.02148,12,bagimsiz sonuc degil,kaynak x model,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
ZRI / Taban-512,17,14,6,0.8235,0.3529,0.4706,0.1667,0.75,9,1,9.0,0.02148,15,bagimsiz sonuc degil,kaynak x model,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
