olcu,olcum_sayisi,minimum,medyan,p95,maksimum,toplam_kare,done_kare,failed_kare,takili_kare,toplam_detection,soguk_baslangic_kare,soguk_baslangic_oturum_kurulumu,soguk_baslangic_frame_toplam,sonraki_kare_medyan_frame_toplam,mevcut_soft_limit,mevcut_hard_limit,mevcut_visibility_timeout,acks_late,prefetch,kosu_durumu,kapi_sonucu,olculen_referans_sure,guvenlik_payi_turu,guvenlik_payi_degeri,guvenlik_payi_notu,kural_soft_limit,kural_hard_limit,kural_visibility_timeout,onerilen_soft_limit,onerilen_hard_limit,onerilen_visibility_timeout,karar,karar_gerekcesi,kosu_gorev_adi,kosu_gorev_id,kosu_kosu_id,kosu_model_surumu,kosu_model_cercevesi,kosu_onnx_sha256,kosu_onnx_model_yolu,kosu_goruntu_dizini,kosu_olcum_yolu,kosu_olcum_secenegi,kosu_store_floor,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
kuyruk_bekleme,157,0.2179,845.4332,1545.7425,1620.7126,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
goruntu_okuma,157,7.2005,10.1187,15.1177,19.5873,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
karolama,157,0.0,0.0001,0.0001,0.164,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
onnx_cikarim,157,6.3205,9.3633,12.5423,18.0256,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
nms_koordinat,157,0.2946,0.3895,0.4907,0.573,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
db_yazma,157,0.0054,0.0173,0.0402,0.0559,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
frame_toplam,157,14.8069,19.884,28.2916,37.3691,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
uctan_uca_sure,157,14.8069,19.884,28.2917,37.3692,157,157,0,0,2450,2,0.1077,37.3691,19.8698,600,660,900,True,1,done,GECTI,37.3692,carpan,10,KARAR (olcum degil),374,434,651,600,660,900,KORUNDU,Olculen en yavas gorev 37.37 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 374 / hard 434 / visibility 651 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-sure-20260912-142859,7,5,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:56:27,scripts/19_gercek_onnx_celery_sure.py
