sira,grup,kaynak_onek,goruntu,etiket_sayisi,tahmin_sayisi,eslesen,yanlis_pozitif,cikti_dosyasi,kosu_model,kosu_bolum,kosu_onek_filtresi,kosu_havuz_goruntu_sayisi,kosu_kalabalik_adet,kosu_az_etiketli_adet,kosu_az_etiketli_araligi,kosu_negatif_adet,kosu_karo_boyutu,kosu_ortusme_orani,kosu_conf_esigi,kosu_iou_esigi,kosu_maks_kenar,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
1,kalabalik,CAB,test_CAB_0006_JPG.rf.330db0307a72bbd52c39a879804d5438.jpg,8,1,0,1,01_kalabalik_test_CAB_0006_JPG.rf.330db0307a72bbd.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
2,kalabalik,CAB,test_CAB_0004_JPG.rf.a26586131f905de3859b1f4b5ffae060.jpg,7,0,0,0,02_kalabalik_test_CAB_0004_JPG.rf.a26586131f905de.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
3,kalabalik,CAB,test_CAB_0008_JPG.rf.e113c640530367777210f622866275be.jpg,6,1,1,0,03_kalabalik_test_CAB_0008_JPG.rf.e113c6405303677.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
4,kalabalik,CAB,test_CAB_0007_JPG.rf.e92812d17e65cd97cef2448a0e3bc560.jpg,4,1,1,0,04_kalabalik_test_CAB_0007_JPG.rf.e92812d17e65cd9.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
5,az_etiketli,CAB,test_CAB_0003_JPG.rf.78b9f960a9f1d9b124da07388854cdfe.jpg,2,1,1,0,05_az_etiketli_test_CAB_0003_JPG.rf.78b9f960a9f1d9b.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
6,az_etiketli,CAB,test_CAB_0005_JPG.rf.3d5350c812efaf500a1f123d1d13b55b.jpg,1,0,0,0,06_az_etiketli_test_CAB_0005_JPG.rf.3d5350c812efaf5.jpg,yolo11n.pt,valid,CAB,8,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:01:30,scripts/03_gorsellestir.py --bolum valid --onek CAB --cikti reports/ornekler_CAB --secim-csv reports/ornek_secim_CAB.csv
