conf_esigi,gercek_kutu,dogru_bulunan_tp,kacirilan_fn,recall,yanlis_pozitif_fp,fp_goruntu_basina,precision,sure_saniye_goruntu_basina,kosu_model,kosu_bolum,kosu_goruntu_sayisi,kosu_karo_boyutu,kosu_ortusme_orani,kosu_perform_standard_pred,kosu_postprocess_type,kosu_postprocess_match_metric,kosu_iou_esigi,kosu_cihaz,kosu_tarama_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
0.05,252,192,60,0.7619,1674,16.74,0.1029,5.8,yolo11n.pt,test,100,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:18:55,scripts/01_taban_cizgisi.py --bolum test --limit 100 --dogrula
0.15,252,150,102,0.5952,446,4.46,0.2517,5.8,yolo11n.pt,test,100,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:18:55,scripts/01_taban_cizgisi.py --bolum test --limit 100 --dogrula
0.3,252,110,142,0.4365,139,1.39,0.4418,5.8,yolo11n.pt,test,100,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 11:18:55,scripts/01_taban_cizgisi.py --bolum test --limit 100 --dogrula
