olcum,alan,karsilastirilan_kayit,uyusan,uyum_orani,esik,sonuc,kosu_protokol,kosu_etiket_kaynagi,kosu_anahtar_kaynagi,kosu_bootstrap_yineleme,kosu_tohum,kosu_yeniden_test_esigi,kosu_kapsam_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
tam uyum (uc alan birden),hepsi,14,10,0.7143,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
insan faaliyeti (ikili alan),insan_faaliyeti,14,14,1.0,0.8,gecti,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
alt kategori,alt_kategori,14,10,0.7143,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
guven,guven,14,14,1.0,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
belirsiz orani (ana tur),insan_faaliyeti,226,16,0.0708,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
yeniden inceleme isareti (ana tur),yeniden_incele,226,0,,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
goruntu yetersiz (ana tur),goruntu_yeterli,226,0,,,bilgi,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
