olcu,olcum_sayisi,minimum,medyan,p95,maksimum,toplam_kare,done_kare,failed_kare,takili_kare,toplam_detection,soguk_baslangic_kare,soguk_baslangic_oturum_kurulumu,soguk_baslangic_frame_toplam,sonraki_kare_medyan_frame_toplam,mevcut_soft_limit,mevcut_hard_limit,mevcut_visibility_timeout,acks_late,prefetch,kosu_durumu,kapi_sonucu,olculen_referans_sure,guvenlik_payi_turu,guvenlik_payi_degeri,guvenlik_payi_notu,kural_soft_limit,kural_hard_limit,kural_visibility_timeout,onerilen_soft_limit,onerilen_hard_limit,onerilen_visibility_timeout,karar,karar_gerekcesi,kosu_gorev_adi,kosu_gorev_id,kosu_kosu_id,kosu_model_surumu,kosu_model_cercevesi,kosu_onnx_sha256,kosu_onnx_model_yolu,kosu_goruntu_dizini,kosu_olcum_yolu,kosu_olcum_secenegi,kosu_store_floor,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
kuyruk_bekleme,157,0.0903,614.465,1387.2807,1446.4497,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
goruntu_okuma,157,0.1017,0.2774,0.5107,0.6948,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
karolama,157,0.0002,0.0005,0.0016,0.0937,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
onnx_cikarim,157,9.3125,15.355,30.5586,34.6279,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
nms_koordinat,157,0.1338,0.2245,0.3724,0.4854,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
db_yazma,157,0.0091,0.026,0.059,0.1623,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
frame_toplam,157,9.7925,16.0092,31.653,35.6625,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
uctan_uca_sure,157,9.7925,16.0092,31.6531,35.6625,157,157,0,0,2450,2,0.0574,10.4374,16.0438,600,660,900,True,1,done,GECTI,35.6625,carpan,10,KARAR (olcum degil),357,417,626,600,660,900,KORUNDU,Olculen en yavas gorev 35.66 sn. Karar kurali (10x pay + 60 sn temiz kapanma + 1.5x visibility) en az soft 357 / hard 417 / visibility 626 gerektiriyor; mevcut 600/660/900 bunlarin hepsini zaten asiyor ve siralama kurali (soft < hard < visibility) saglaniyor. Sinirlari dusurmek yalnizca gecici makine yuku veya daha yavas bir kare geldiginde gorevi erken keserdi; olcum boyle bir gereklilik gostermiyor.,olcum-onnx-tek-okuma-20260912-153715,10,8,model512-onnx,onnx,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/models/model512_best.onnx,data/heridal/test/images,"gercek Celery kuyrugu; gorev fonksiyonu dogrudan cagrilmadi, isi calisan isci yapti (docker compose worker)",TASK_TIMING_LOG=/app/media/zamanlama.jsonl,0.05,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 16:01:39,scripts/19_gercek_onnx_celery_sure.py --gorev-adi olcum-onnx-tek-okuma-20260912-153715 --kare-cikti reports/gercek_onnx_celery_sure_tek_okuma.csv --ozet-cikti reports/gercek_onnx_celery_sure_tek_okuma_ozet.csv
