grup,kaynaklar,bant,bant_alt,bant_ust,eslesme_sayisi,bant_yuzde,grup_kutu_sayisi,grup_eslesme_sayisi,ornek_durumu_kutu,ornek_durumu_eslesme,kosu_analiz,kosu_conf_esigi,kosu_bantlar,kosu_b_turu_kaynaklar,kosu_diger_grup_en_az_kutu,kosu_girdi_dosyasi,kosu_girdi_satir_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
B_TURU,BLI+GRO+CAB,0.05-0.15,0.05,0.15,15,40.5,101,37,yeterli,yetersiz ornek,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
B_TURU,BLI+GRO+CAB,0.15-0.30,0.15,0.3,8,21.6,101,37,yeterli,yetersiz ornek,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
B_TURU,BLI+GRO+CAB,0.30-0.50,0.3,0.5,4,10.8,101,37,yeterli,yetersiz ornek,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
B_TURU,BLI+GRO+CAB,0.50-1.00,0.5,1.0,10,27.0,101,37,yeterli,yetersiz ornek,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
DIGER_EN_AZ_100_KUTU,BRA+BRK+BRS+GOR+MED+TRS+VRD+ZRI,0.05-0.15,0.05,0.15,411,25.2,2648,1628,yeterli,yeterli,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
DIGER_EN_AZ_100_KUTU,BRA+BRK+BRS+GOR+MED+TRS+VRD+ZRI,0.15-0.30,0.15,0.3,365,22.4,2648,1628,yeterli,yeterli,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
DIGER_EN_AZ_100_KUTU,BRA+BRK+BRS+GOR+MED+TRS+VRD+ZRI,0.30-0.50,0.3,0.5,378,23.2,2648,1628,yeterli,yeterli,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
DIGER_EN_AZ_100_KUTU,BRA+BRK+BRS+GOR+MED+TRS+VRD+ZRI,0.50-1.00,0.5,1.0,474,29.1,2648,1628,yeterli,yeterli,eslesme skoru dagilimi,0.05,0.05-0.15 / 0.15-0.30 / 0.30-0.50 / 0.50-1.00,BLI+GRO+CAB,100,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
