epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2361.88,1.54044,1.21131,1.32644,0.73215,0.68168,0.72659,0.41516,1.44662,1.29133,1.30826,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2433.57,1.51907,1.17417,1.30592,0.73785,0.66313,0.71979,0.42226,1.41182,1.28651,1.26433,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2505.61,1.50198,1.14596,1.29723,0.78569,0.66414,0.72811,0.43735,1.41244,1.18559,1.2638,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2578.1,1.47979,1.13963,1.28377,0.76507,0.65654,0.72205,0.43141,1.41342,1.18286,1.27266,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2649.62,1.45078,1.10282,1.28335,0.7342,0.66911,0.71169,0.42332,1.42568,1.19311,1.28277,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2721.98,1.44729,1.11502,1.27628,0.80553,0.66073,0.74956,0.45131,1.35969,1.13807,1.22101,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2794.02,1.47363,1.1233,1.2758,0.74226,0.66702,0.71149,0.41774,1.39792,1.20186,1.26524,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2866.22,1.4351,1.08499,1.26435,0.77257,0.70471,0.7496,0.44934,1.40678,1.14809,1.27196,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2938.29,1.47619,1.10167,1.27924,0.82258,0.65131,0.73338,0.44326,1.39114,1.18191,1.27823,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3010.09,1.43978,1.05815,1.26733,0.78003,0.68691,0.73414,0.43741,1.40785,1.14233,1.27296,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3082.28,1.43396,1.04467,1.25987,0.75142,0.66911,0.71758,0.4268,1.40913,1.17555,1.27898,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3153.88,1.40242,1.0448,1.2434,0.80355,0.69529,0.75657,0.45786,1.35254,1.08798,1.23396,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3225.48,1.4235,1.03555,1.2472,0.8189,0.69529,0.7671,0.45915,1.38201,1.06632,1.2609,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3296.15,1.40455,1.03971,1.2567,0.77116,0.68901,0.74529,0.44679,1.37574,1.10686,1.2717,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3368.48,1.40154,1.03086,1.23902,0.83014,0.66702,0.76323,0.4599,1.39611,1.05056,1.2454,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3440.48,1.41487,1.05619,1.24759,0.82254,0.67958,0.75589,0.45864,1.39686,1.0868,1.24107,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3513.23,1.39514,1.00025,1.24133,0.80313,0.69634,0.75843,0.45818,1.40957,1.06035,1.26154,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3585.78,1.41247,1.02399,1.24829,0.79893,0.69065,0.74628,0.45239,1.35943,1.08058,1.24783,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3657.8,1.37387,0.99249,1.22372,0.83508,0.70052,0.76122,0.464,1.3401,1.02592,1.22783,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3730.91,1.36665,0.95699,1.22059,0.79076,0.71627,0.76243,0.46586,1.36441,1.0356,1.24559,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3804.49,1.39989,0.99973,1.24109,0.80286,0.70262,0.75596,0.45847,1.36645,1.04861,1.24292,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3877.7,1.3656,0.97735,1.20136,0.81346,0.71728,0.76943,0.46665,1.36805,1.04199,1.24525,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3949.25,1.35036,0.95371,1.20843,0.81949,0.69406,0.75432,0.45767,1.37163,1.07308,1.25302,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4021.44,1.3574,0.93391,1.21854,0.78736,0.71204,0.76022,0.45242,1.37898,1.05154,1.25373,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4093.4,1.34182,0.95497,1.19742,0.78361,0.73089,0.76202,0.46096,1.34024,1.00736,1.24109,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4166,1.34055,0.93616,1.21172,0.82196,0.70366,0.77379,0.47523,1.32324,0.99214,1.21736,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4238.24,1.31607,0.90865,1.18635,0.84288,0.68901,0.76193,0.46678,1.35366,1.0154,1.24318,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4311.16,1.3258,0.92538,1.19545,0.81493,0.73314,0.78054,0.47655,1.32941,0.98163,1.20958,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4391.93,1.33184,0.91243,1.19318,0.85526,0.68796,0.77697,0.47738,1.32508,0.97992,1.22204,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4479.3,1.29522,0.88613,1.17577,0.83664,0.69634,0.77012,0.47366,1.35955,0.98664,1.23828,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
