kapsam,grup,oran_araligi,kutu_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,medyan_enboy_orani,ornek_durumu,kosu_analiz,kosu_conf_esigi,kosu_enboy_tanimi,kosu_grup_sinirlari,kosu_girdi_dosyasi,kosu_girdi_satir_sayisi,kosu_az_ornek_esigi,kosu_yetersiz_ornek_esigi,kosu_not_,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
hepsi,yatay,> 1.5,481,97,384,0.2017,1.738,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
hepsi,kare_benzeri,0.8 - 1.5,1737,445,1292,0.2562,1.076,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
hepsi,dikey,< 0.8,855,429,426,0.5018,0.655,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
ZRI_HARIC,yatay,> 1.5,278,40,238,0.1439,1.774,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
ZRI_HARIC,kare_benzeri,0.8 - 1.5,947,167,780,0.1763,1.067,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
ZRI_HARIC,dikey,< 0.8,551,266,285,0.4828,0.641,yeterli,en-boy orani / recall,0.3,genislik_px / yukseklik_px,yatay > 1.5; kare_benzeri 0.8-1.5; dikey < 0.8,kutu_bazinda_sonuc.csv,9219,100,50,model taramasi yapilmadi; tum sayilar kutu bazinda kayittan turetildi,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:53:07,scripts/07_gozlem_analiz.py
