conf_esigi,goruntu_sayisi,hedef_sayisi,pytorch_tp,pytorch_fn,pytorch_recall,pytorch_fp,pytorch_fp_goruntu_basina,pytorch_precision,pytorch_toplam_tahmin,pytorch_goruntu_basina_sure,pytorch_toplam_sure,onnx_tp,onnx_fn,onnx_recall,onnx_fp,onnx_fp_goruntu_basina,onnx_precision,onnx_toplam_tahmin,onnx_goruntu_basina_sure,onnx_toplam_sure,fark_tp,fark_fn,fark_recall,fark_fp,fark_fp_goruntu_basina,fark_precision,kosu_protokol_kaynagi,kosu_bolum,kosu_karo_boyutu,kosu_ortusme_orani,kosu_iou_esigi,kosu_cihaz,kosu_taban_conf,kosu_pt_sha256,kosu_onnx_sha256,kosu_pytorch_yolu,kosu_onnx_yolu,kosu_motor_secimi,kosu_karo_indeksi_notu,kosu_eslestirme,kosu_surum_onnxruntime,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
0.05,157,970,902,68,0.9299,2134,13.59,0.2971,3036,4.098,643.4,902,68,0.9299,2134,13.59,0.2971,3036,2.788,437.7,0,0,0.0,0,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
0.15,157,970,859,111,0.8856,1110,7.07,0.4363,1969,4.098,643.4,859,111,0.8856,1110,7.07,0.4363,1969,2.788,437.7,0,0,0.0,0,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
0.3,157,970,788,182,0.8124,617,3.93,0.5609,1405,4.098,643.4,788,182,0.8124,617,3.93,0.5609,1405,2.788,437.7,0,0,0.0,0,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
