sira,grup,kaynak_onek,goruntu,etiket_sayisi,tahmin_sayisi,eslesen,yanlis_pozitif,cikti_dosyasi,kosu_model,kosu_bolum,kosu_onek_filtresi,kosu_havuz_goruntu_sayisi,kosu_kalabalik_adet,kosu_az_etiketli_adet,kosu_az_etiketli_araligi,kosu_negatif_adet,kosu_karo_boyutu,kosu_ortusme_orani,kosu_conf_esigi,kosu_iou_esigi,kosu_maks_kenar,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
1,kalabalik,BLI,test_BLI_0004_JPG.rf.e39d0910b994abba8a92372fdb2cb054.jpg,18,7,5,2,01_kalabalik_test_BLI_0004_JPG.rf.e39d0910b994abb.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
2,kalabalik,BLI,test_BLI_0002_JPG.rf.c23589a16cf1decec1dd495204492a62.jpg,7,5,3,2,02_kalabalik_test_BLI_0002_JPG.rf.c23589a16cf1dec.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
3,kalabalik,BLI,test_BLI_0003_JPG.rf.e58a1bffcba149afabdbedad000fd570.jpg,6,3,3,0,03_kalabalik_test_BLI_0003_JPG.rf.e58a1bffcba149a.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
4,kalabalik,BLI,test_BLI_0001_JPG.rf.9d60fb232888570be46b93c596b809e4.jpg,5,4,3,1,04_kalabalik_test_BLI_0001_JPG.rf.9d60fb232888570.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
5,az_etiketli,BLI,test_BLI_0005_JPG.rf.d30da70c52d7a2291ce2ac08db987791.jpg,2,0,0,0,05_az_etiketli_test_BLI_0005_JPG.rf.d30da70c52d7a22.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
6,az_etiketli,BLI,test_BLI_0006_JPG.rf.e2f6ab8f245b0f7fc5aa318981631fc6.jpg,2,0,0,0,06_az_etiketli_test_BLI_0006_JPG.rf.e2f6ab8f245b0f7.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
7,az_etiketli,BLI,test_BLI_0007_JPG.rf.cef763762a9fbf21e36d46956b80d0db.jpg,2,1,0,1,07_az_etiketli_test_BLI_0007_JPG.rf.cef763762a9fbf2.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
8,az_etiketli,BLI,test_BLI_0008_JPG.rf.080981a1bde4372c2ddaee5eb134f01a.jpg,2,0,0,0,08_az_etiketli_test_BLI_0008_JPG.rf.080981a1bde4372.jpg,yolo11n.pt,valid,BLI,9,4,4,1-2,2,512,0.2,0.15,0.3,1600,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-09 15:00:03,scripts/03_gorsellestir.py --bolum valid --onek BLI --cikti reports/ornekler_BLI --secim-csv reports/ornek_secim_BLI.csv
